≥Ø¬•,∆Ú≈√,¿Œ√µ,≈Îøµ,ªÔ√¥
2018-10-01,21.7,20.8,22.2,21.7
2018-10-02,21.6,20.5,21.8,21.8
2018-10-03,21.4,20.3,21.9,21.4
2018-10-04,21.3,20.3,21.9,22
2018-10-05,21.2,20.3,21.6,22.3
2018-10-06,20.9,20.1,21.5,22
2018-10-07,20.5,19.9,21.6,21.7
2018-10-08,20.4,19.6,21.5,21.6
2018-10-09,20.4,19.4,21.5,21.6
2018-10-10,20,19.1,21.5,21.3
2018-10-11,19.6,18.5,21.2,20.9
2018-10-12,18.6,18.1,20.8,20.9
2018-10-13,19.1,18,20.6,20.8
2018-10-14,19.1,18,20.5,20.8
2018-10-15,19.1,18.1,20.6,20.7
2018-10-16,18.9,18.1,20.5,20.2
2018-10-17,18.8,17.8,20.4,20.4
2018-10-18,18.6,17.6,20.2,20.2
2018-10-19,18.7,17.7,20,19.4
2018-10-20,18.7,17.6,19.9,19.5
2018-10-21,18.7,17.3,19.8,19.8
2018-10-22,18.7,17.3,19.7,19.5
2018-10-23,18.5,17.1,19.8,19.3
2018-10-24,18.4,17,19.6,19
2018-10-25,18.3,16.8,19.5,18.7
2018-10-26,18.3,16.7,19.4,18.8
2018-10-27,18.3,16.5,19.3,19.1
2018-10-28,18.3,16.3,19.1,19.1
2018-10-29,18.3,16,19,19.3
2018-10-30,18.3,15.6,18.7,19.1
2018-10-31,18.3,15.2,18.4,18.9
2018-11-01,18.3,15,18.2,18.7
2018-11-02,18.3,14.8,18,18.5
2018-11-03,18.3,14.5,17.9,18.6
2018-11-04,18.3,14.5,18.1,18.3
2018-11-05,18.3,14.4,18,18.1
2018-11-06,18.3,14.4,17.7,18.4
2018-11-07,18.3,14.3,17.4,18.1
2018-11-08,18.3,13.9,17.4,17.4
2018-11-09,18.3,13.6,17.2,17.8
2018-11-10,18.3,13.4,17.1,16.8
2018-11-11,18.3,13.5,17,16.8
2018-11-12,18.3,13.5,16.8,16.3
2018-11-13,18.3,13.5,16.7,16.2
2018-11-14,18.3,13.4,16.6,16.7
2018-11-15,18.3,12.8,16.6,16.4
2018-11-16,18.3,13,16.4,16
2018-11-17,18.3,13,16.3,15.7
2018-11-18,18.3,12.8,16.1,15.7
2018-11-19,18.3,12.7,15.8,15.7
2018-11-20,18.3,12.6,15.6,16.4
2018-11-21,18.3,12.3,15.5,16.7
2018-11-22,18.3,11.9,15.4,16.9
2018-11-23,18.3,11.5,15.2,16.5
2018-11-24,18.3,10.7,15,16.2
2018-11-25,18.3,9.7,14.7,16.1
2018-11-26,18.3,9.4,14.5,15.8
2018-11-27,18.3,9,14.3,15.8
2018-11-28,18.3,8.8,14.2,15.7
2018-11-29,18.3,8.7,14.1,15.6
2018-11-30,18.3,8.5,13.9,15.6
2018-12-01,18.3,8.3,13.7,15.4
2018-12-02,18.3,8.2,13.5,15.1
2018-12-03,18.3,8,13.3,15.1
2018-12-04,18.3,7.8,13.1,14.9
2018-12-05,18.3,7.6,12.8,14.4
2018-12-06,18.3,7.3,12.6,14.1
2018-12-07,18.3,7.2,12.5,14.2
2018-12-08,18.3,7.1,12.3,14
2018-12-09,18.3,6.9,12,14
2018-12-10,18.3,6.8,11.9,13.9
2018-12-11,18.3,6.6,11.8,13.8
2018-12-12,18.3,6.4,11.6,13.7
2019-02-13,6.2,2.2,6.5,12
2019-02-14,6.3,2.1,6.4,11.9
2019-02-15,6.2,2.2,6.5,12
2019-02-16,5.1,2.1,6.4,12
2019-02-17,4.2,2,6.4,11.6
